"time","future","rate"
"2021-09-09T10:00:00+00:00","ORBS-PERP","-0.000158"
"2021-09-09T10:00:00+00:00","YFII-PERP","-0.000051"
"2021-09-09T10:00:00+00:00","CVC-PERP","0.00002"
"2021-09-09T10:00:00+00:00","MTA-PERP","-0.000005"
"2021-09-09T10:00:00+00:00","CEL-PERP","0.000038"
"2021-09-09T10:00:00+00:00","WAVES-PERP","0.000044"
"2021-09-09T10:00:00+00:00","COMP-PERP","0.000017"
"2021-09-09T10:00:00+00:00","PRIV-PERP","0.000093"
"2021-09-09T10:00:00+00:00","TLM-PERP","0.000024"
"2021-09-09T10:00:00+00:00","SECO-PERP","0.000062"
"2021-09-09T10:00:00+00:00","ASD-PERP","0.000023"
"2021-09-09T10:00:00+00:00","LINA-PERP","0.000026"
"2021-09-09T10:00:00+00:00","BAND-PERP","0.000026"
"2021-09-09T10:00:00+00:00","CAKE-PERP","-0.000005"
"2021-09-09T10:00:00+00:00","PUNDIX-PERP","0.000032"
"2021-09-09T10:00:00+00:00","CONV-PERP","-0.000007"
"2021-09-09T10:00:00+00:00","ALT-PERP","-0.000036"
"2021-09-09T10:00:00+00:00","HOT-PERP","0.000027"
"2021-09-09T10:00:00+00:00","BAO-PERP","0.000058"
"2021-09-09T10:00:00+00:00","HNT-PERP","-0.000001"
"2021-09-09T10:00:00+00:00","ALPHA-PERP","0.000025"
"2021-09-09T10:00:00+00:00","MAPS-PERP","0.000159"
"2021-09-09T10:00:00+00:00","BTT-PERP","0.000003"
"2021-09-09T10:00:00+00:00","KAVA-PERP","-0.000073"
"2021-09-09T10:00:00+00:00","CREAM-PERP","0.00004"
"2021-09-09T10:00:00+00:00","ADA-PERP","-0.000072"
"2021-09-09T10:00:00+00:00","ALICE-PERP","0.000033"
"2021-09-09T10:00:00+00:00","ICP-PERP","-0.000038"
"2021-09-09T10:00:00+00:00","ENJ-PERP","-0.000026"
"2021-09-09T10:00:00+00:00","MID-PERP","-0.000007"
"2021-09-09T10:00:00+00:00","KSM-PERP","0.000019"
"2021-09-09T10:00:00+00:00","ETC-PERP","-0.000022"
"2021-09-09T10:00:00+00:00","1INCH-PERP","0.000009"
"2021-09-09T10:00:00+00:00","LTC-PERP","0.000017"
"2021-09-09T10:00:00+00:00","KIN-PERP","0.000027"
"2021-09-09T10:00:00+00:00","RUNE-PERP","-0.000017"
"2021-09-09T10:00:00+00:00","EGLD-PERP","0.000075"
"2021-09-09T10:00:00+00:00","SUSHI-PERP","0.000009"
"2021-09-09T10:00:00+00:00","NEO-PERP","-0.000004"
"2021-09-09T10:00:00+00:00","BAT-PERP","0.000002"
"2021-09-09T10:00:00+00:00","CUSDT-PERP","0"
"2021-09-09T10:00:00+00:00","XTZ-PERP","0.000027"
"2021-09-09T10:00:00+00:00","MEDIA-PERP","-0.000188"
"2021-09-09T10:00:00+00:00","DRGN-PERP","-0.000024"
"2021-09-09T10:00:00+00:00","ONT-PERP","-0.000032"
"2021-09-09T10:00:00+00:00","EOS-PERP","0.000023"
"2021-09-09T10:00:00+00:00","TOMO-PERP","0.000008"
"2021-09-09T10:00:00+00:00","MVDA10-PERP","-0.00001"
"2021-09-09T10:00:00+00:00","THETA-PERP","0.000068"
"2021-09-09T10:00:00+00:00","TRX-PERP","-0.000018"
"2021-09-09T10:00:00+00:00","STX-PERP","0.000066"
"2021-09-09T10:00:00+00:00","DOT-PERP","0.000007"
"2021-09-09T10:00:00+00:00","SAND-PERP","0.000016"
"2021-09-09T10:00:00+00:00","FIL-PERP","0.000021"
"2021-09-09T10:00:00+00:00","AXS-PERP","0.000067"
"2021-09-09T10:00:00+00:00","PROM-PERP","-0.000051"
"2021-09-09T10:00:00+00:00","AR-PERP","0.000133"
"2021-09-09T10:00:00+00:00","AUDIO-PERP","0.000036"
"2021-09-09T10:00:00+00:00","FTM-PERP","0.000058"
"2021-09-09T10:00:00+00:00","SRM-PERP","0.000087"
"2021-09-09T10:00:00+00:00","DENT-PERP","-0.00003"
"2021-09-09T10:00:00+00:00","OXY-PERP","0.000009"
"2021-09-09T10:00:00+00:00","REN-PERP","-0.000017"
"2021-09-09T10:00:00+00:00","HOLY-PERP","0.000147"
"2021-09-09T10:00:00+00:00","YFI-PERP","0.000016"
"2021-09-09T10:00:00+00:00","ALGO-PERP","0.000062"
"2021-09-09T10:00:00+00:00","SRN-PERP","-0.000509"
"2021-09-09T10:00:00+00:00","XMR-PERP","0.000013"
"2021-09-09T10:00:00+00:00","HBAR-PERP","0.000051"
"2021-09-09T10:00:00+00:00","AAVE-PERP","0.000032"
"2021-09-09T10:00:00+00:00","BTC-PERP","0.000004"
"2021-09-09T10:00:00+00:00","XAUT-PERP","-0.000027"
"2021-09-09T10:00:00+00:00","AGLD-PERP","0.000068"
"2021-09-09T10:00:00+00:00","SOL-PERP","0.000015"
"2021-09-09T10:00:00+00:00","DOGE-PERP","0.000026"
"2021-09-09T10:00:00+00:00","DYDX-PERP","0"
"2021-09-09T10:00:00+00:00","AMPL-PERP","0.0001"
"2021-09-09T10:00:00+00:00","DASH-PERP","-0.000013"
"2021-09-09T10:00:00+00:00","FLOW-PERP","-0.000062"
"2021-09-09T10:00:00+00:00","BCH-PERP","-0.000007"
"2021-09-09T10:00:00+00:00","FLM-PERP","0.000059"
"2021-09-09T10:00:00+00:00","TRYB-PERP","-0.00008"
"2021-09-09T10:00:00+00:00","DEFI-PERP","0.000041"
"2021-09-09T10:00:00+00:00","REEF-PERP","0.000028"
"2021-09-09T10:00:00+00:00","SKL-PERP","-0.000037"
"2021-09-09T10:00:00+00:00","XRP-PERP","-0.000005"
"2021-09-09T10:00:00+00:00","MER-PERP","0.000094"
"2021-09-09T10:00:00+00:00","SXP-PERP","0.000016"
"2021-09-09T10:00:00+00:00","SNX-PERP","-0.000005"
"2021-09-09T10:00:00+00:00","LRC-PERP","-0.000002"
"2021-09-09T10:00:00+00:00","ZRX-PERP","-0.000057"
"2021-09-09T10:00:00+00:00","MKR-PERP","0.000043"
"2021-09-09T10:00:00+00:00","QTUM-PERP","-0.000016"
"2021-09-09T10:00:00+00:00","POLIS-PERP","0.000037"
"2021-09-09T10:00:00+00:00","BSV-PERP","-0.000036"
"2021-09-09T10:00:00+00:00","BAL-PERP","0.000052"
"2021-09-09T10:00:00+00:00","UNISWAP-PERP","0.000233"
"2021-09-09T10:00:00+00:00","FIDA-PERP","0.00001"
"2021-09-09T10:00:00+00:00","OMG-PERP","0.000006"
"2021-09-09T10:00:00+00:00","ZIL-PERP","0.000015"
"2021-09-09T10:00:00+00:00","OKB-PERP","-0.000018"
"2021-09-09T10:00:00+00:00","ICX-PERP","-0.000033"
"2021-09-09T10:00:00+00:00","SHIT-PERP","-0.000041"
"2021-09-09T10:00:00+00:00","ALCX-PERP","0.000036"
"2021-09-09T10:00:00+00:00","USDT-PERP","-0.000004"
"2021-09-09T10:00:00+00:00","ATOM-PERP","0.000052"
"2021-09-09T10:00:00+00:00","CHR-PERP","0.000028"
"2021-09-09T10:00:00+00:00","RSR-PERP","0.000009"
"2021-09-09T10:00:00+00:00","XLM-PERP","0.000009"
"2021-09-09T10:00:00+00:00","BADGER-PERP","0.000046"
"2021-09-09T10:00:00+00:00","KNC-PERP","-0.000031"
"2021-09-09T10:00:00+00:00","CLV-PERP","-0.000077"
"2021-09-09T10:00:00+00:00","SLP-PERP","-0.000056"
"2021-09-09T10:00:00+00:00","CRV-PERP","-0.000067"
"2021-09-09T10:00:00+00:00","MTL-PERP","0.00004"
"2021-09-09T10:00:00+00:00","MVDA25-PERP","-0.000036"
"2021-09-09T10:00:00+00:00","HT-PERP","0.000035"
"2021-09-09T10:00:00+00:00","SC-PERP","-0.000004"
"2021-09-09T10:00:00+00:00","TULIP-PERP","0.000036"
"2021-09-09T10:00:00+00:00","PERP-PERP","0.000054"
"2021-09-09T10:00:00+00:00","BRZ-PERP","-0.000019"
"2021-09-09T10:00:00+00:00","RAMP-PERP","-0.000031"
"2021-09-09T10:00:00+00:00","CRO-PERP","0.000078"
"2021-09-09T10:00:00+00:00","RAY-PERP","0.000058"
"2021-09-09T10:00:00+00:00","C98-PERP","0.000043"
"2021-09-09T10:00:00+00:00","STMX-PERP","0.000033"
"2021-09-09T09:00:00+00:00","MVDA25-PERP","-0.000036"
"2021-09-09T09:00:00+00:00","REEF-PERP","0.000038"
"2021-09-09T09:00:00+00:00","IOTA-PERP","0.000005"
"2021-09-09T09:00:00+00:00","CLV-PERP","-0.000091"
"2021-09-09T09:00:00+00:00","HBAR-PERP","0.000078"
"2021-09-09T09:00:00+00:00","KSM-PERP","0.000034"
"2021-09-09T09:00:00+00:00","BCH-PERP","-0.000021"
"2021-09-09T09:00:00+00:00","BAL-PERP","0.000028"
"2021-09-09T09:00:00+00:00","ALICE-PERP","0.000034"
"2021-09-09T09:00:00+00:00","POLIS-PERP","0.000006"
"2021-09-09T09:00:00+00:00","BRZ-PERP","-0.000018"
"2021-09-09T09:00:00+00:00","FIDA-PERP","0.000045"
"2021-09-09T09:00:00+00:00","ICP-PERP","-0.000037"
"2021-09-09T09:00:00+00:00","AAVE-PERP","0.000039"
"2021-09-09T09:00:00+00:00","RSR-PERP","0.000021"
"2021-09-09T09:00:00+00:00","SAND-PERP","0.000018"
"2021-09-09T09:00:00+00:00","THETA-PERP","0.000072"
"2021-09-09T09:00:00+00:00","STORJ-PERP","-0.000042"
"2021-09-09T09:00:00+00:00","MER-PERP","0.000031"
"2021-09-09T09:00:00+00:00","HT-PERP","0.00001"
"2021-09-09T09:00:00+00:00","WAVES-PERP","0.000053"
"2021-09-09T09:00:00+00:00","UNI-PERP","0.000019"
"2021-09-09T09:00:00+00:00","BTT-PERP","0.000011"
"2021-09-09T09:00:00+00:00","XEM-PERP","-0.000038"
"2021-09-09T09:00:00+00:00","TRU-PERP","0.000049"
"2021-09-09T09:00:00+00:00","OMG-PERP","0.000009"
"2021-09-09T09:00:00+00:00","ROOK-PERP","0.000028"
"2021-09-09T09:00:00+00:00","NEO-PERP","0.000007"
"2021-09-09T09:00:00+00:00","DODO-PERP","0.000008"
"2021-09-09T09:00:00+00:00","MKR-PERP","0.000045"
"2021-09-09T09:00:00+00:00","ZIL-PERP","0.000011"
"2021-09-09T09:00:00+00:00","TULIP-PERP","0.000021"
"2021-09-09T09:00:00+00:00","XMR-PERP","0.000012"
"2021-09-09T09:00:00+00:00","YFI-PERP","0.000031"
"2021-09-09T09:00:00+00:00","ATOM-PERP","0.000041"
"2021-09-09T09:00:00+00:00","COMP-PERP","0.00002"
"2021-09-09T09:00:00+00:00","FIL-PERP","0.000023"
"2021-09-09T09:00:00+00:00","ALT-PERP","-0.000026"
"2021-09-09T09:00:00+00:00","BAO-PERP","0.000039"
"2021-09-09T09:00:00+00:00","MAPS-PERP","0.000141"
"2021-09-09T09:00:00+00:00","QTUM-PERP","-0.000024"
"2021-09-09T09:00:00+00:00","LTC-PERP","0.000009"
"2021-09-09T09:00:00+00:00","REN-PERP","0.000013"
"2021-09-09T09:00:00+00:00","ETH-PERP","0.00001"
"2021-09-09T09:00:00+00:00","DENT-PERP","0.000009"
"2021-09-09T09:00:00+00:00","AXS-PERP","0.000063"
"2021-09-09T09:00:00+00:00","XLM-PERP","0.000021"
"2021-09-09T09:00:00+00:00","TRYB-PERP","-0.000081"
"2021-09-09T09:00:00+00:00","UNISWAP-PERP","0.000345"
"2021-09-09T09:00:00+00:00","CAKE-PERP","0.000005"
"2021-09-09T09:00:00+00:00","DASH-PERP","-0.000005"
"2021-09-09T09:00:00+00:00","OXY-PERP","-0.000088"
"2021-09-09T09:00:00+00:00","SHIT-PERP","-0.000034"
"2021-09-09T09:00:00+00:00","BAT-PERP","0.000005"
"2021-09-09T09:00:00+00:00","LINK-PERP","0.000022"
"2021-09-09T09:00:00+00:00","DEFI-PERP","0.000055"
"2021-09-09T09:00:00+00:00","XAUT-PERP","-0.000003"
"2021-09-09T09:00:00+00:00","KAVA-PERP","-0.000061"
"2021-09-09T09:00:00+00:00","HNT-PERP","-0.000013"
"2021-09-09T09:00:00+00:00","TRX-PERP","-0.000004"
"2021-09-09T09:00:00+00:00","AUDIO-PERP","0.000046"
"2021-09-09T09:00:00+00:00","FTM-PERP","0.000061"
"2021-09-09T09:00:00+00:00","LUNA-PERP","0.000027"
"2021-09-09T09:00:00+00:00","GRT-PERP","-0.000028"
"2021-09-09T09:00:00+00:00","NEAR-PERP","0.000045"
"2021-09-09T09:00:00+00:00","PERP-PERP","0.000055"
"2021-09-09T09:00:00+00:00","FLOW-PERP","-0.000077"
"2021-09-09T09:00:00+00:00","DRGN-PERP","-0.000023"
"2021-09-09T09:00:00+00:00","AVAX-PERP","0.000076"
"2021-09-09T09:00:00+00:00","BNB-PERP","0.000007"
"2021-09-09T09:00:00+00:00","RAY-PERP","0.000059"
"2021-09-09T09:00:00+00:00","VET-PERP","0.000022"
"2021-09-09T09:00:00+00:00","ETC-PERP","-0.000021"
"2021-09-09T09:00:00+00:00","SC-PERP","0.000008"
"2021-09-09T09:00:00+00:00","MATIC-PERP","0.000024"
"2021-09-09T09:00:00+00:00","SHIB-PERP","0.000027"
"2021-09-09T09:00:00+00:00","AR-PERP","0.000077"
"2021-09-09T09:00:00+00:00","MNGO-PERP","0.000066"
"2021-09-09T09:00:00+00:00","SLP-PERP","-0.000047"
"2021-09-09T09:00:00+00:00","ATLAS-PERP","-0.000031"
"2021-09-09T09:00:00+00:00","SRM-PERP","0.00005"
"2021-09-09T09:00:00+00:00","ICX-PERP","-0.00003"
"2021-09-09T09:00:00+00:00","SNX-PERP","0.000018"
"2021-09-09T09:00:00+00:00","FLM-PERP","0.00001"
"2021-09-09T09:00:00+00:00","DOGE-PERP","0.000031"
"2021-09-09T09:00:00+00:00","LINA-PERP","0.000039"
"2021-09-09T09:00:00+00:00","MID-PERP","-0.000012"
"2021-09-09T09:00:00+00:00","ADA-PERP","-0.000049"
"2021-09-09T09:00:00+00:00","STEP-PERP","0.000065"
"2021-09-09T09:00:00+00:00","FTT-PERP","0.000039"
"2021-09-09T09:00:00+00:00","1INCH-PERP","0.000012"
"2021-09-09T09:00:00+00:00","ALPHA-PERP","0.000015"
"2021-09-09T09:00:00+00:00","MEDIA-PERP","-0.000176"
"2021-09-09T09:00:00+00:00","KIN-PERP","0.000038"
"2021-09-09T09:00:00+00:00","DOT-PERP","0.000018"
"2021-09-09T09:00:00+00:00","LRC-PERP","-0.000011"
"2021-09-09T09:00:00+00:00","ALCX-PERP","0.000019"
"2021-09-09T09:00:00+00:00","STMX-PERP","0.000095"
"2021-09-09T09:00:00+00:00","CHZ-PERP","0.000035"
"2021-09-09T09:00:00+00:00","PROM-PERP","0.000063"
"2021-09-09T09:00:00+00:00","EGLD-PERP","0.000073"
"2021-09-09T09:00:00+00:00","BTC-PERP","-0.000003"
"2021-09-09T09:00:00+00:00","EOS-PERP","0.000022"
"2021-09-09T09:00:00+00:00","MTL-PERP","0.000032"
"2021-09-09T09:00:00+00:00","SXP-PERP","0.000008"
"2021-09-09T09:00:00+00:00","XRP-PERP","-0.000005"
"2021-09-09T09:00:00+00:00","XTZ-PERP","0.000017"
"2021-09-09T09:00:00+00:00","SOL-PERP","0.000021"
"2021-09-09T09:00:00+00:00","ZEC-PERP","0.000031"
"2021-09-09T09:00:00+00:00","MVDA10-PERP","-0.000023"
"2021-09-09T09:00:00+00:00","USDT-PERP","-0.000003"
"2021-09-09T09:00:00+00:00","AGLD-PERP","0.00006"
"2021-09-09T09:00:00+00:00","CRO-PERP","0.000041"
"2021-09-09T09:00:00+00:00","PUNDIX-PERP","-0.000017"
